AssemblyAccession	Taxid	SpeciesTaxid	Organism	AssemblyStatus	RefSeq_category	FtpPath_GenBank	FtpPath_RefSeq	FtpPath_Assembly_rpt
GCF_023066195.1	96345	96345	Flavobacterium psychrophilum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/066/195/GCA_023066195.1_ASM2306619v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/195/GCF_023066195.1_ASM2306619v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/195/GCF_023066195.1_ASM2306619v1/GCF_023066195.1_ASM2306619v1_assembly_report.txt
GCF_023066175.1	96345	96345	Flavobacterium psychrophilum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/066/175/GCA_023066175.1_ASM2306617v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/175/GCF_023066175.1_ASM2306617v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/066/175/GCF_023066175.1_ASM2306617v1/GCF_023066175.1_ASM2306617v1_assembly_report.txt
GCF_023016285.1	2908842	2908842	Muricauda sp. SCSIO 64092 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/016/285/GCA_023016285.1_ASM2301628v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/285/GCF_023016285.1_ASM2301628v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/016/285/GCF_023016285.1_ASM2301628v1/GCF_023016285.1_ASM2301628v1_assembly_report.txt
GCF_023008245.1	2024526	2024526	Flavobacterium sediminilitoris (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/008/245/GCA_023008245.1_ASM2300824v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/008/245/GCF_023008245.1_ASM2300824v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/008/245/GCF_023008245.1_ASM2300824v1/GCF_023008245.1_ASM2300824v1_assembly_report.txt
GCF_022985615.1	336810	336810	Candidatus Sulcia muelleri (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/985/615/GCA_022985615.1_ASM2298561v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/985/615/GCF_022985615.1_ASM2298561v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/985/615/GCF_022985615.1_ASM2298561v1/GCF_022985615.1_ASM2298561v1_assembly_report.txt
GCF_022985555.1	336810	336810	Candidatus Sulcia muelleri (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/985/555/GCA_022985555.1_ASM2298555v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/985/555/GCF_022985555.1_ASM2298555v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/985/555/GCF_022985555.1_ASM2298555v1/GCF_022985555.1_ASM2298555v1_assembly_report.txt
GCF_022985515.1	336810	336810	Candidatus Sulcia muelleri (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/985/515/GCA_022985515.1_ASM2298551v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/985/515/GCF_022985515.1_ASM2298551v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/985/515/GCF_022985515.1_ASM2298551v1/GCF_022985515.1_ASM2298551v1_assembly_report.txt
GCF_022982435.1	96345	96345	Flavobacterium psychrophilum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/982/435/GCA_022982435.1_ASM2298243v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/982/435/GCF_022982435.1_ASM2298243v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/982/435/GCF_022982435.1_ASM2298243v1/GCF_022982435.1_ASM2298243v1_assembly_report.txt
GCF_022982415.1	96345	96345	Flavobacterium psychrophilum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/982/415/GCA_022982415.1_ASM2298241v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/982/415/GCF_022982415.1_ASM2298241v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/982/415/GCF_022982415.1_ASM2298241v1/GCF_022982415.1_ASM2298241v1_assembly_report.txt
GCF_022965695.1	192389	192389	Chryseobacterium daecheongense (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/965/695/GCA_022965695.1_ASM2296569v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/965/695/GCF_022965695.1_ASM2296569v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/965/695/GCF_022965695.1_ASM2296569v1/GCF_022965695.1_ASM2296569v1_assembly_report.txt
GCF_022921095.1	2932251	2932251	Hymenobacter sp. 5413J-13 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/095/GCA_022921095.1_ASM2292109v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/095/GCF_022921095.1_ASM2292109v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/095/GCF_022921095.1_ASM2292109v1/GCF_022921095.1_ASM2292109v1_assembly_report.txt
GCF_022921075.1	2932250	2932250	Hymenobacter sp. 5317J-9 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/075/GCA_022921075.1_ASM2292107v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/075/GCF_022921075.1_ASM2292107v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/075/GCF_022921075.1_ASM2292107v1/GCF_022921075.1_ASM2292107v1_assembly_report.txt
GCF_022921055.1	2932254	2932254	Hymenobacter sp. 5420S-77 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/921/055/GCA_022921055.1_ASM2292105v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/055/GCF_022921055.1_ASM2292105v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/921/055/GCF_022921055.1_ASM2292105v1/GCF_022921055.1_ASM2292105v1_assembly_report.txt
GCF_022919455.1	2932252	2932252	Hymenobacter sp. 5414T-23 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/919/455/GCA_022919455.1_ASM2291945v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/455/GCF_022919455.1_ASM2291945v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/455/GCF_022919455.1_ASM2291945v1/GCF_022919455.1_ASM2291945v1_assembly_report.txt
GCF_022919335.1	2932253	2932253	Hymenobacter sp. 5516J-16 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/919/335/GCA_022919335.1_ASM2291933v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/335/GCF_022919335.1_ASM2291933v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/335/GCF_022919335.1_ASM2291933v1/GCF_022919335.1_ASM2291933v1_assembly_report.txt
GCF_022919215.1	2932248	2932248	Hymenobacter sp. 5116S-3 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/919/215/GCA_022919215.1_ASM2291921v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/215/GCF_022919215.1_ASM2291921v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/215/GCF_022919215.1_ASM2291921v1/GCF_022919215.1_ASM2291921v1_assembly_report.txt
GCF_022919135.1	2932249	2932249	Hymenobacter sp. 5116S-27 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/919/135/GCA_022919135.1_ASM2291913v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/135/GCF_022919135.1_ASM2291913v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/919/135/GCF_022919135.1_ASM2291913v1/GCF_022919135.1_ASM2291913v1_assembly_report.txt
GCF_022869785.1	2906456	2906456	Dyadobacter sp. LJ419 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/869/785/GCA_022869785.1_ASM2286978v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/869/785/GCF_022869785.1_ASM2286978v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/869/785/GCF_022869785.1_ASM2286978v1/GCF_022869785.1_ASM2286978v1_assembly_report.txt
GCF_022846055.1	214856	214856	Alistipes finegoldii (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/846/055/GCA_022846055.1_ASM2284605v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/846/055/GCF_022846055.1_ASM2284605v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/846/055/GCF_022846055.1_ASM2284605v1/GCF_022846055.1_ASM2284605v1_assembly_report.txt
GCA_022845995.1	2872177	2872177	Odoribacteraceae bacterium (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/845/995/GCA_022845995.1_ASM2284599v1	NA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/845/995/GCA_022845995.1_ASM2284599v1/GCA_022845995.1_ASM2284599v1_assembly_report.txt
